"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"EDELWEISS","EQ","13-Apr-2020","         36.90","         37.00","         37.35","         35.10","         35.30","         35.15","         35.27","    1380090","            48677326.90","       8857","     953854","         69.12"
"EDELWEISS","EQ","15-Apr-2020","         35.15","         36.05","         36.15","         33.95","         34.55","         34.60","         34.85","    2851266","            99372101.85","      21678","    1950443","         68.41"
"EDELWEISS","EQ","16-Apr-2020","         34.60","         34.45","         36.30","         33.50","         36.30","         36.30","         35.25","    1925296","            67869760.10","       8375","    1285317","         66.76"
"EDELWEISS","EQ","17-Apr-2020","         36.30","         38.10","         38.10","         38.10","         38.10","         38.10","         38.10","     590832","            22510699.20","       1034","     489329","         82.82"
"EDELWEISS","EQ","20-Apr-2020","         38.10","         39.55","         40.00","         37.10","         39.20","         39.30","         39.35","    5688754","           223878484.25","      19843","    3225100","         56.69"
"EDELWEISS","EQ","21-Apr-2020","         39.30","         37.80","         37.85","         37.35","         37.35","         37.35","         37.37","     735444","            27481260.40","       3120","     617718","         83.99"
"EDELWEISS","EQ","22-Apr-2020","         37.35","         35.75","         38.10","         35.50","         36.75","         36.60","         36.59","    2038613","            74588955.95","      16189","    1178072","         57.79"
"EDELWEISS","EQ","23-Apr-2020","         36.60","         36.70","         38.40","         36.70","         38.40","         38.40","         38.12","    1706189","            65033929.10","       5326","     966555","         56.65"
"EDELWEISS","EQ","24-Apr-2020","         38.40","         37.45","         37.75","         36.50","         36.50","         36.50","         36.90","    1065255","            39312413.40","       5070","     698201","         65.54"
"EDELWEISS","EQ","27-Apr-2020","         36.50","         36.50","         37.75","         34.70","         36.60","         37.20","         35.92","    1851127","            66493997.85","       9166","     781444","         42.21"
"EDELWEISS","EQ","28-Apr-2020","         37.20","         38.20","         38.30","         36.30","         37.65","         37.65","         37.10","     873816","            32422193.55","       4888","     486826","         55.71"
"EDELWEISS","EQ","29-Apr-2020","         37.65","         37.65","         39.50","         37.00","         38.75","         38.85","         38.68","    1709275","            66109158.55","       6856","    1122815","         65.69"
"EDELWEISS","EQ","30-Apr-2020","         38.85","         39.20","         40.75","         39.20","         40.05","         39.80","         40.28","    3034777","           122232442.95","       7968","    1503928","         49.56"
"EDELWEISS","EQ","04-May-2020","         39.80","         37.85","         38.40","         37.85","         37.85","         37.85","         37.91","     677044","            25666968.60","       2879","     531986","         78.57"
"EDELWEISS","EQ","05-May-2020","         37.85","         37.85","         38.60","         36.00","         36.00","         36.00","         36.20","    2677375","            96934212.45","       4943","    1368439","         51.11"
"EDELWEISS","EQ","06-May-2020","         36.00","         37.50","         37.75","         34.50","         35.40","         35.05","         36.06","    2753191","            99293085.25","      12397","    1258258","         45.70"
"EDELWEISS","EQ","07-May-2020","         35.05","         35.50","         36.75","         34.20","         36.30","         36.45","         35.93","    1095940","            39372188.20","       4570","     775313","         70.74"
"EDELWEISS","EQ","08-May-2020","         36.45","         37.00","         38.25","         36.55","         38.25","         38.25","         37.81","    1961063","            74145936.40","      10479","    1318678","         67.24"
"EDELWEISS","EQ","11-May-2020","         38.25","         40.15","         40.15","         39.50","         40.15","         40.15","         40.15","     865406","            34743877.45","       2145","     572664","         66.17"
"EDELWEISS","EQ","12-May-2020","         40.15","         40.70","         42.15","         38.25","         42.15","         42.15","         41.19","    3381082","           139275387.15","      16111","    1970226","         58.27"
"EDELWEISS","EQ","13-May-2020","         42.15","         44.25","         44.25","         43.00","         44.25","         44.25","         44.11","    1211592","            53442702.00","       2982","     850254","         70.18"
"EDELWEISS","EQ","14-May-2020","         44.25","         45.00","         46.45","         42.05","         42.05","         42.05","         44.56","    3950176","           176025958.70","      15423","    1755485","         44.44"
"EDELWEISS","EQ","15-May-2020","         42.05","         42.50","         44.15","         40.00","         44.15","         44.15","         43.41","    2199834","            95495382.90","       6984","    1272793","         57.86"
"EDELWEISS","EQ","18-May-2020","         44.15","         46.00","         46.00","         41.95","         41.95","         41.95","         43.35","     993924","            43084936.65","       3469","     775430","         78.02"
"EDELWEISS","EQ","19-May-2020","         41.95","         43.15","         43.15","         40.00","         40.60","         40.55","         41.54","    1289468","            53558870.10","       5457","     597485","         46.34"
"EDELWEISS","EQ","20-May-2020","         40.55","         42.35","         42.55","         41.45","         42.55","         42.55","         42.35","     762529","            32289828.65","       2456","     591224","         77.53"
"EDELWEISS","EQ","21-May-2020","         42.55","         44.65","         44.65","         44.65","         44.65","         44.65","         44.65","     545601","            24361084.65","        856","     545596","        100.00"
"EDELWEISS","EQ","22-May-2020","         44.65","         46.85","         46.85","         42.45","         42.45","         42.50","         44.60","    3295181","           146976905.60","       9415","    1271511","         38.59"
"EDELWEISS","EQ","26-May-2020","         42.50","         43.00","         44.60","         41.80","         44.60","         44.60","         44.04","    1503219","            66205923.75","       5347","     801435","         53.31"
"EDELWEISS","EQ","27-May-2020","         44.60","         46.45","         46.80","         44.70","         46.80","         46.80","         46.13","    1279444","            59019692.20","       5785","     902931","         70.57"
"EDELWEISS","EQ","28-May-2020","         46.80","         47.30","         48.65","         46.30","         47.30","         47.50","         47.80","    1481476","            70809538.95","       8647","     958915","         64.73"
"EDELWEISS","EQ","29-May-2020","         47.50","         47.30","         47.80","         45.65","         46.00","         46.05","         46.43","    1264779","            58729327.50","       8890","     693756","         54.85"
"EDELWEISS","EQ","01-Jun-2020","         46.05","         47.45","         48.35","         46.60","         47.40","         47.40","         47.97","    2454008","           117708661.60","       9941","    1255905","         51.18"
"EDELWEISS","EQ","02-Jun-2020","         47.40","         47.85","         48.45","         46.40","         46.65","         46.70","         47.24","     827129","            39070927.10","       4331","     565502","         68.37"
"EDELWEISS","EQ","03-Jun-2020","         46.70","         47.45","         48.65","         45.60","         46.00","         46.05","         47.07","    2005773","            94421012.80","      10601","    1185764","         59.12"
"EDELWEISS","EQ","04-Jun-2020","         46.05","         45.60","         46.80","         44.50","         44.90","         44.90","         45.35","     736462","            33400967.50","       4307","     549668","         74.64"
"EDELWEISS","EQ","05-Jun-2020","         44.90","         45.00","         47.00","         44.90","         46.20","         46.00","         45.93","    1391139","            63899303.60","       5789","     900387","         64.72"
"EDELWEISS","EQ","08-Jun-2020","         46.00","         48.30","         48.30","         46.00","         46.45","         46.45","         47.15","    2241159","           105665876.80","       8186","    1383119","         61.71"
"EDELWEISS","EQ","09-Jun-2020","         46.45","         47.85","         47.85","         45.20","         45.30","         45.40","         46.18","     958368","            44262042.60","       5662","     581061","         60.63"
"EDELWEISS","EQ","10-Jun-2020","         45.40","         45.90","         45.95","         44.80","         45.05","         45.10","         45.31","     825066","            37386156.75","       3778","     510110","         61.83"
"EDELWEISS","EQ","11-Jun-2020","         45.10","         45.00","         45.90","         43.85","         44.05","         44.30","         44.84","     845901","            37931344.30","       4237","     442041","         52.26"
"EDELWEISS","EQ","12-Jun-2020","         44.30","         42.10","         43.90","         42.10","         43.60","         43.50","         42.92","    1165086","            50005880.85","       5141","     559169","         47.99"
"EDELWEISS","EQ","15-Jun-2020","         43.50","         43.60","         45.65","         42.75","         43.15","         43.45","         44.52","    1727920","            76925059.35","       7002","     892493","         51.65"
"EDELWEISS","EQ","16-Jun-2020","         43.45","         43.95","         44.70","         41.30","         42.60","         42.55","         42.70","    2177406","            92984644.95","      10459","    1495811","         68.70"
"EDELWEISS","EQ","17-Jun-2020","         42.55","         42.75","         43.25","         41.45","         41.95","         41.55","         42.44","    1778536","            75479298.05","      10765","    1331475","         74.86"
"EDELWEISS","EQ","18-Jun-2020","         41.55","         41.60","         43.60","         40.55","         43.60","         43.25","         42.19","    2629225","           110919844.80","      25901","    1730142","         65.80"
"EDELWEISS","EQ","19-Jun-2020","         43.25","         44.40","         45.40","         42.85","         45.40","         45.40","         44.83","    3683958","           165150247.75","       8885","    2726237","         74.00"
"EDELWEISS","EQ","22-Jun-2020","         45.40","         47.65","         47.65","         47.65","         47.65","         47.65","         47.65","     538828","            25675154.20","        897","     538828","        100.00"
"EDELWEISS","EQ","23-Jun-2020","         47.65","         50.00","         50.00","         50.00","         50.00","         50.00","         50.00","     303011","            15150550.00","        713","     237482","        100.00"
"EDELWEISS","EQ","24-Jun-2020","         50.00","         52.50","         52.50","         50.00","         52.50","         51.75","         52.26","    7677307","           401181971.15","      10744","    5635491","         73.40"
"EDELWEISS","EQ","25-Jun-2020","         51.75","         53.90","         54.30","         52.25","         54.30","         54.30","         53.97","    3202739","           172852334.00","       5981","    1910437","         59.65"
"EDELWEISS","EQ","26-Jun-2020","         54.30","         57.00","         57.00","         56.75","         57.00","         57.00","         57.00","     704665","            40162522.00","       1122","     693320","         98.39"
"EDELWEISS","EQ","29-Jun-2020","         57.00","         59.75","         59.85","         54.60","         59.85","         59.85","         57.53","    8140231","           468338629.80","      18246","    4180285","         51.35"
"EDELWEISS","EQ","30-Jun-2020","         59.85","         62.80","         62.80","         59.90","         62.80","         62.80","         62.54","    6666775","           416918239.55","      16096","    2815571","         42.23"
"EDELWEISS","EQ","01-Jul-2020","         62.80","         63.00","         63.00","         59.70","         59.70","         59.70","         60.32","    1772035","           106880671.75","       6590","    1164378","         65.71"
"EDELWEISS","EQ","02-Jul-2020","         59.70","         56.75","         62.65","         56.75","         60.30","         60.50","         59.59","    5069852","           302101300.45","      20442","    1984598","         39.15"
"EDELWEISS","EQ","03-Jul-2020","         60.50","         61.80","         62.50","         60.00","         60.20","         60.60","         61.53","    1710059","           105228415.30","       8274","    1075793","         62.91"
"EDELWEISS","EQ","06-Jul-2020","         60.60","         57.60","         62.05","         57.60","         58.10","         58.10","         58.87","    3002983","           176784946.65","      12157","    1995271","         66.44"
"EDELWEISS","EQ","07-Jul-2020","         58.10","         58.90","         59.00","         56.50","         58.00","         58.10","         57.99","    1242513","            72049393.40","       7559","     787861","         63.41"
"EDELWEISS","EQ","08-Jul-2020","         58.10","         58.10","         59.75","         57.10","         57.35","         57.30","         58.23","    1189620","            69272418.40","       7764","     712277","         59.87"
